fold,auc,auprc,mcc,acc,thr,time_min
1,0.7828145160092853,0.3447995824309579,0.36054719897081894,0.8019561445022875,0.9,4.167962876955668
2,0.7751007226885978,0.4254395488122116,0.4410343585493401,0.7691598549566714,0.9,4.082432639598847
3,0.7796100946314027,0.4107155164901386,0.3722529681604954,0.8395620754892534,0.7,4.097274804115296
4,0.8048076400931196,0.4396316164106775,0.4251925671359546,0.8189715823927075,0.9,4.080477627118428
5,0.797714029601538,0.4151940766851039,0.4184468145624159,0.8101422200795468,0.85,4.991421945889791
6,0.7747783669261987,0.36338592202550724,0.3718465799952524,0.787312030075188,0.85,4.110924498240153
7,0.8018104321672175,0.43536394976043674,0.4891326880482899,0.8540273154341537,0.9,5.02186131477356
8,0.785984592677283,0.386639195180702,0.37259168745242444,0.8068685376661743,0.85,4.087050151824951
9,0.7982716620742184,0.3705772900440306,0.40966405831404995,0.8389605522066402,0.85,4.068258134524028
10,0.7762286715731607,0.3741007011877927,0.37565993714755674,0.7865623647269804,0.85,4.054869190851847
