fold,auc,auprc,mcc,acc,thr,time_min
1,0.8496281770102202,0.6184877571655963,0.5159654100083344,0.8153651995582899,0.95,10.953294205665589
2,0.8377581391610297,0.6072375019730742,0.5536012344089485,0.8134410915125069,0.95,10.907126967112223
3,0.7905645612508913,0.5329087917507255,0.3837543675160487,0.8060044040566945,0.44999999999999996,11.019353866577148
4,0.8052662357093466,0.5461903250377499,0.4756772073754621,0.8262212841454835,0.95,10.973613941669464
5,0.8278292060224043,0.6398234807531731,0.551340016253613,0.7997468964686031,0.95,10.929427059491475
6,0.83270737222997,0.6391846497870629,0.5295608736668254,0.8340225563909774,0.85,10.920876117547353
7,0.8359445784006058,0.6572764672852909,0.5680278871956468,0.8061475282332079,0.95,10.928231557210287
8,0.8430584978974444,0.62777183730372,0.5047125851963453,0.8102535696701132,0.85,10.893521388371786
9,0.8128794364645757,0.5679904749635434,0.4753061717578814,0.7987006902583003,0.95,10.925347709655762
10,0.8327741264781695,0.5966650356823134,0.5107036126646312,0.8190588089790366,0.9,10.923768560091654
