fold,auc,auprc,mcc,acc,thr,time_min
1,0.7834491509065082,0.327125729418702,0.3685401680429995,0.7841930903928065,0.85,4.183157511552175
2,0.8170857263811672,0.38893203580585195,0.4250433171046054,0.8294511707946653,0.7999999999999999,4.9115571737289425
3,0.7837401679947698,0.41563990850029997,0.3683166234663126,0.8426635238656452,0.39999999999999997,4.21963140964508
4,0.7946335153491478,0.3661671858391722,0.3576106322533014,0.8473891896852345,0.7,5.451949505011241
5,0.7940500810518453,0.3852418243466241,0.43377639772535104,0.8195432083885742,0.9,4.970552663008372
6,0.7918860366633088,0.3915549416729488,0.4043813166996587,0.8353070175438596,0.7999999999999999,5.526818096637726
7,0.813765373673789,0.46559248952724924,0.4610092756051131,0.8228852316211928,0.85,4.660108423233032
8,0.7458576956088104,0.3288163939666826,0.3238107109549949,0.78034219596258,0.85,4.749476627508799
9,0.7580911108445356,0.35407237382276135,0.3751586934096932,0.7945466470937315,0.9,5.011638983090719
10,0.7977306868580338,0.38787578978348836,0.3771449312864305,0.7773792591676458,0.75,4.071879343191783
