fold,auc,auprc,mcc,acc,thr,time_min
1,0.8244434118990335,0.45479075364626015,0.46395430987265135,0.8023663038334122,0.85,10.953801941871642
2,0.8371170268299193,0.4685266087241725,0.5029705752124333,0.8093847950341098,0.75,10.927858952681223
3,0.7838361432984848,0.4878227189782679,0.418166384584759,0.7953974506094346,0.85,10.916320371627808
4,0.8066442087944973,0.4657780396823034,0.4056498792422716,0.8248447584962222,0.95,10.857430930932363
5,0.817472222314623,0.49936350934546064,0.48185330627759587,0.7876039532361094,0.85,10.84575199286143
6,0.7870111021733581,0.4646826319993621,0.45930517666422593,0.8014097744360902,0.7999999999999999,11.000049285093944
7,0.846271701376623,0.6051465832742291,0.5315180178314417,0.8229785645397132,0.9,10.891949403285981
8,0.7973309812889,0.43998458682668423,0.3975022681112594,0.8021294928606598,0.85,10.966601494948069
9,0.7975578920825416,0.5005036945266408,0.4469861077574754,0.795452415904051,0.9,11.583045621713003
10,0.819703360838806,0.5057924972047559,0.4665188889379416,0.8033207593840826,0.85,10.96720893383026
