fold,auc,auprc,mcc,acc,thr,time_min
1,0.8549071924589755,0.49661120028003747,0.4571625665493682,0.8768401316910821,0.3,0.09814596176147461
2,0.8636746911510946,0.5060726561123393,0.49248931512850075,0.8826980524431925,0.3,0.09500046173731486
3,0.8322385020250721,0.48533715637567076,0.43431171608141256,0.8698698339508222,0.3,0.09665029446283976
4,0.846664769006024,0.47948543894417,0.46386550753052685,0.8823022821874551,0.3,0.09485077063242595
5,0.851336947792619,0.5175464599025119,0.4717180796853672,0.8737171666427443,0.3,0.0959674596786499
6,0.8557484829607671,0.4985376126698109,0.4823464151795924,0.8697699870819579,0.3,0.09625080426534018
7,0.8536248322980677,0.5164923118965465,0.475952631520283,0.8715193052963973,0.3,0.10031712849934896
8,0.839068800531279,0.48190335009608765,0.4489390227317141,0.8773055116980049,0.3,0.09530077377955119
9,0.8208302194782451,0.43477705312829684,0.4008582007485248,0.8840157169513421,0.2,0.08620076576868693
10,0.8446325440387021,0.48445729421062345,0.4634975914035007,0.8783551026266686,0.3,0.09598374764124552
