Feature,MAE,RMSE,R2,MedianAE,EvaluatedPoints
platelet,7.107264518737793,19.833086013793945,0.9658439820268898,0.0,4280980
wbc,0.7275773286819458,2.306886911392212,0.9197772757034686,0.0,4164350
rdw,0.08655238151550293,0.2927890717983246,0.98344629712119,0.0,4091355
glucose,11.351043701171875,40.910194396972656,0.5287327270577091,0.0,4943670
creatinine,0.05164942890405655,0.23946113884449005,0.9694399554887589,0.0,5182875
paco2,1.3591408729553223,5.5289177894592285,0.7513332363149473,0.0,10010
fio2,57.47014776325559,62.42843814329338,-5.453440151176152,49.5,74780
pao2,16.518613815307617,52.39063262939453,0.771828144147067,0.0,9805
