fold,auc,auprc,mcc,acc,thr,time_min
1,0.7860833111927007,0.4006456608835181,0.4235538599549854,0.7955197980754062,0.9,5.0092453797658285
2,0.8353392164849608,0.4973544147240775,0.49981049131386696,0.8438325855817098,0.9,4.169827246665955
3,0.781407827681438,0.47468141216821524,0.3912665439020943,0.819402661042707,0.7,4.022473017374675
4,0.792909745828015,0.40213923660459794,0.3836312894460642,0.7908292802300327,0.85,4.106758137543996
5,0.7927288370729788,0.47610184036885694,0.428302571166256,0.7857056767506327,0.95,5.115363411108652
6,0.7785536646532614,0.4305863006234588,0.4286674734308354,0.8057644110275689,0.9,4.125772798061371
7,0.7913086986186867,0.5124100814956154,0.487994207188175,0.7733876738325608,0.9,4.109529213110606
8,0.8017403500299971,0.45102353875223083,0.40537577660331303,0.8007447070408665,0.9,4.109498635927836
9,0.7752523942884331,0.4209415502742724,0.38610407426439897,0.7854577255832839,0.95,4.13622739315033
10,0.7873345288420144,0.44245569789112443,0.40661256724680334,0.784305237771319,0.7999999999999999,4.131751620769501
