fold,auc,auprc,mcc,acc,thr,time_min
1,0.8235306104266997,0.36133561336716236,0.40176015079240956,0.8008518693800284,0.85,11.204576615492503
2,0.846764849485181,0.4508611726004016,0.47152682625142067,0.8207239874623563,0.9,10.93342144091924
3,0.7741996527721449,0.4281482862452184,0.362971773112297,0.7898148435319294,0.65,11.30918980439504
4,0.7982622356523243,0.4218650736684128,0.41796435532131954,0.7743109724388976,0.85,10.915309826532999
5,0.7880678864028414,0.3880578990494438,0.43721613555159544,0.8006508376521634,0.85,11.196942663192749
6,0.8170322152017572,0.4581966967897614,0.4688858831645224,0.8480263157894737,0.75,11.21504625082016
7,0.8377727911539206,0.5107799017198579,0.518127495131345,0.8207696854680646,0.7999999999999999,11.18348038593928
8,0.798774508692656,0.40470317642569986,0.3757235075044799,0.8436115214180206,0.49999999999999994,11.294247663021087
9,0.7901355541812378,0.39827159886375335,0.4121892979749006,0.7732142299403442,0.9,11.266263282299041
10,0.8170920729651914,0.4202270789972932,0.4234817416374604,0.7848927091707377,0.7,11.26134192943573
